Cenario 0 S(t),Cenario 0 I(t),Cenario 0 R(t),Cenario 0 D(t),Cenario 1 S(t),Cenario 1 I(t),Cenario 1 R(t),Cenario 1 D(t),Cenario 2 S(t),Cenario 2 I(t),Cenario 2 R(t),Cenario 2 D(t),tempo(t)
070.0000000000,002.0000000000,000.0000000000,000.0000000000,070.0000000000,002.0000000000,000.0000000000,000.0000000000,070.0000000000,002.0000000000,000.0000000000,000.0000000000,000.0000
069.9860000000,002.0117272727,000.0022727273,000.0000454545,069.9860000000,002.0117272727,000.0022727273,000.0000454545,069.9860000000,002.0117272727,000.0022727273,000.0000454545,000.1000
069.9719207255,002.0235204935,000.0045587810,000.0000911756,069.9719207255,002.0235204935,000.0045587810,000.0000911756,069.9719207255,002.0235204935,000.0045587810,000.0000911756,000.2000
069.9577617640,002.0353799999,000.0068582361,000.0001371647,069.9577617640,002.0353799999,000.0068582361,000.0001371647,069.9577617640,002.0353799999,000.0068582361,000.0001371647,000.3000
069.9435227010,002.0473061310,000.0091711679,000.0001834234,069.9435227010,002.0473061310,000.0091711679,000.0001834234,069.9435227010,002.0473061310,000.0091711679,000.0001834234,000.4000
069.9292031208,002.0592992271,000.0114976522,000.0002299530,069.9292031208,002.0592992271,000.0114976522,000.0002299530,069.9292031208,002.0592992271,000.0114976522,000.0002299530,000.5000
069.9148026054,002.0713596297,000.0138377649,000.0002767553,069.9148026054,002.0713596297,000.0138377649,000.0002767553,069.9148026054,002.0713596297,000.0138377649,000.0002767553,000.6000
069.9003207354,002.0834876819,000.0161915827,000.0003238317,069.9003207354,002.0834876819,000.0161915827,000.0003238317,069.9003207354,002.0834876819,000.0161915827,000.0003238317,000.7000
069.8857570897,002.0956837280,000.0185591823,000.0003711836,069.8857570897,002.0956837280,000.0185591823,000.0003711836,069.8857570897,002.0956837280,000.0185591823,000.0003711836,000.8000
069.8711112453,002.1079481136,000.0209406411,000.0004188128,069.8711112453,002.1079481136,000.0209406411,000.0004188128,069.8711112453,002.1079481136,000.0209406411,000.0004188128,000.9000
069.8563827776,002.1202811858,000.0233360367,000.0004667207,069.8563827776,002.1202811858,000.0233360367,000.0004667207,069.8563827776,002.1202811858,000.0233360367,000.0004667207,001.0000
069.8415712602,002.1326832927,000.0257454471,000.0005149089,069.8415712602,002.1326832927,000.0257454471,000.0005149089,069.8415712602,002.1326832927,000.0257454471,000.0005149089,001.1000
069.8266762649,002.1451547842,000.0281689509,000.0005633790,069.8266762649,002.1451547842,000.0281689509,000.0005633790,069.8266762649,002.1451547842,000.0281689509,000.0005633790,001.2000
069.8116973621,002.1576960112,000.0306066268,000.0006121325,069.8116973621,002.1576960112,000.0306066268,000.0006121325,069.8116973621,002.1576960112,000.0306066268,000.0006121325,001.3000
069.7966341200,002.1703073260,000.0330585540,000.0006611711,069.7966341200,002.1703073260,000.0330585540,000.0006611711,069.7966341200,002.1703073260,000.0330585540,000.0006611711,001.4000
069.7814861053,002.1829890823,000.0355248124,000.0007104962,069.7814861053,002.1829890823,000.0355248124,000.0007104962,069.7814861053,002.1829890823,000.0355248124,000.0007104962,001.5000
069.7662528831,002.1957416351,000.0380054818,000.0007601096,069.7662528831,002.1957416351,000.0380054818,000.0007601096,069.7662528831,002.1957416351,000.0380054818,000.0007601096,001.6000
069.7509340165,002.2085653408,000.0405006427,000.0008100129,069.7509340165,002.2085653408,000.0405006427,000.0008100129,069.7509340165,002.2085653408,000.0405006427,000.0008100129,001.7000
069.7355290670,002.2214605570,000.0430103761,000.0008602075,069.7355290670,002.2214605570,000.0430103761,000.0008602075,069.7355290670,002.2214605570,000.0430103761,000.0008602075,001.8000
069.7200375942,002.2344276427,000.0455347631,000.0009106953,069.7200375942,002.2344276427,000.0455347631,000.0009106953,069.7200375942,002.2344276427,000.0455347631,000.0009106953,001.9000
069.7044591563,002.2474669583,000.0480738854,000.0009614777,069.7044591563,002.2474669583,000.0480738854,000.0009614777,069.7044591563,002.2474669583,000.0480738854,000.0009614777,002.0000
069.6887933094,002.2605788655,000.0506278251,000.0010125565,069.6887933094,002.2605788655,000.0506278251,000.0010125565,069.6887933094,002.2605788655,000.0506278251,000.0010125565,002.1000
069.6730396081,002.2737637272,000.0531966647,000.0010639333,069.6730396081,002.2737637272,000.0531966647,000.0010639333,069.6730396081,002.2737637272,000.0531966647,000.0010639333,002.2000
069.6571976051,002.2870219078,000.0557804871,000.0011156097,069.6571976051,002.2870219078,000.0557804871,000.0011156097,069.6571976051,002.2870219078,000.0557804871,000.0011156097,002.3000
069.6412668514,002.3003537729,000.0583793757,000.0011675875,069.6412668514,002.3003537729,000.0583793757,000.0011675875,069.6412668514,002.3003537729,000.0583793757,000.0011675875,002.4000
069.6252468963,002.3137596897,000.0609934141,000.0012198683,069.6252468963,002.3137596897,000.0609934141,000.0012198683,069.6252468963,002.3137596897,000.0609934141,000.0012198683,002.5000
069.6091372873,002.3272400263,000.0636226864,000.0012724537,069.6091372873,002.3272400263,000.0636226864,000.0012724537,069.6091372873,002.3272400263,000.0636226864,000.0012724537,002.6000
069.5929375703,002.3407951524,000.0662672774,000.0013253455,069.5929375703,002.3407951524,000.0662672774,000.0013253455,069.5929375703,002.3407951524,000.0662672774,000.0013253455,002.7000
069.5766472892,002.3544254390,000.0689272719,000.0013785454,069.5766472892,002.3544254390,000.0689272719,000.0013785454,069.5766472892,002.3544254390,000.0689272719,000.0013785454,002.8000
069.5602659863,002.3681312583,000.0716027553,000.0014320551,069.5602659863,002.3681312583,000.0716027553,000.0014320551,069.5602659863,002.3681312583,000.0716027553,000.0014320551,002.9000
069.5437932023,002.3819129841,000.0742938136,000.0014858763,069.5437932023,002.3819129841,000.0742938136,000.0014858763,069.5437932023,002.3819129841,000.0742938136,000.0014858763,003.0000
069.5272284759,002.3957709912,000.0770005329,000.0015400107,069.5272284759,002.3957709912,000.0770005329,000.0015400107,069.5272284759,002.3957709912,000.0770005329,000.0015400107,003.1000
069.5105713442,002.4097056559,000.0797229999,000.0015944600,069.5105713442,002.4097056559,000.0797229999,000.0015944600,069.5105713442,002.4097056559,000.0797229999,000.0015944600,003.2000
